iter	Passed	Remaining
401	21853	521755
402	21899	521511
403	21956	521509
404	22049	522392
405	22120	522714
406	22203	523341
407	22260	523348
408	22335	523753
409	22447	525055
410	22551	526137
411	22603	526021
412	22651	525812
413	22705	525728
414	22756	525584
415	22790	525056
416	22826	524573
417	22859	524027
418	22893	523482
419	22924	522886
420	22955	522315
421	22993	521873
422	23021	521232
423	23054	520684
424	23097	520376
425	23143	520136
426	23195	520027
427	23242	519817
428	23280	519393
429	23318	518977
430	23360	518644
431	23403	518333
432	23444	517992
433	23482	517579
434	23512	516998
435	23550	516590
436	23585	516136
437	23620	515651
438	23656	515206
439	23695	514839
440	23729	514359
441	23762	513852
442	23789	513220
443	23822	512723
444	23848	512077
445	23877	511498
446	23901	510805
447	23932	510274
448	23959	509653
449	23986	509047
450	24008	508339
451	24035	507733
452	24061	507092
453	24091	506565
454	24119	505972
455	24142	505298
456	24174	504806
457	24194	504060
458	24228	503619
459	24253	503006
460	24287	502562
461	24328	502267
462	24351	501600
463	24389	501249
464	24436	501083
465	24487	500990
466	24526	500669
467	24556	500153
468	24594	499802
469	24628	499374
470	24653	498778
471	24686	498333
472	24724	497984
473	24757	497550
474	24791	497139
475	24828	496773
476	24871	496537
477	24899	496009
478	24944	495814
479	24979	495430
480	25093	496601
481	25222	498059
482	25372	499935
483	25488	501134
484	25564	501543
485	25619	501533
486	25658	501217
487	25688	500715
488	25730	500463
489	25773	500217
490	25808	499824
491	25833	499240
492	25867	498829
493	25901	498421
494	25932	497951
495	25961	497455
496	25983	496817
497	26012	496321
498	26034	495695
499	26060	495157
500	26081	494511
501	26108	493981
502	26130	493353
503	26156	492825
504	26180	492236
505	26206	491715
506	26226	491067
507	26263	490742
508	26290	490217
509	26316	489699
510	26343	489181
511	26372	488710
512	26409	488400
513	26439	487940
514	26472	487556
515	26514	487327
516	26554	487074
517	26585	486642
518	26620	486298
519	26656	485961
520	26681	485440
521	26711	485003
522	26739	484528
523	26768	484076
524	26802	483718
525	26835	483341
526	26869	482981
527	26908	482714
528	26942	482368
529	26974	481979
530	27008	481633
531	27032	481098
532	27058	480609
533	27085	480137
534	27110	479633
535	27144	479279
536	27171	478816
537	27209	478544
538	27248	478294
539	27275	477818
540	27303	477375
541	27325	476833
542	27353	476397
543	27381	475953
544	27420	475701
545	27471	475672
546	27507	475377
547	27538	474993
548	27568	474582
549	27596	474159
550	27623	473717
551	27653	473310
552	27683	472925
553	27711	472499
554	27744	472158
555	27781	471878
556	27812	471505
557	27850	471265
558	27878	470837
559	27907	470436
560	27935	470022
561	27965	469634
562	27995	469257
563	28028	468926
564	28056	468510
565	28087	468161
566	28119	467810
567	28151	467472
568	28181	467102
569	28210	466717
570	28237	466287
571	28267	465916
572	28299	465583
573	28328	465192
574	28354	464771
575	28384	464394
576	28413	464024
577	28441	463630
578	28466	463185
579	28496	462827
580	28525	462447
581	28553	462053
582	28586	461753
583	28620	461453
584	28648	461069
585	28682	460776
586	28710	460388
587	28740	460041
588	28776	459787
589	28800	459344
590	28821	458844
591	28843	458382
592	28866	457917
593	28891	457504
594	28921	457146
595	28948	456767
596	28978	456418
597	29005	456042
598	29032	455649
599	29064	455338
600	29093	454998
601	29131	454776
602	29160	454434
603	29194	454153
604	29225	453838
605	29256	453528
606	29289	453235
607	29316	452868
608	29346	452532
609	29385	452343
610	29428	452215
611	29455	451848
612	29483	451485
613	29506	451062
614	29531	450656
615	29553	450206
616	29573	449739
617	29594	449280
618	29614	448814
619	29635	448361
620	29658	447933
621	29677	447454
622	29699	447010
623	29718	446535
624	29739	446086
625	29769	445777
626	29789	445321
627	29812	444907
628	29833	444461
629	29854	444025
630	29877	443610
631	29900	443207
632	29923	442799
633	29948	442430
634	29973	442042
635	29992	441594
636	30017	441213
637	30036	440755
638	30057	440328
639	30076	439870
640	30099	439473
641	30121	439058
642	30143	438651
643	30168	438280
644	30190	437879
645	30218	437558
646	30245	437225
647	30269	436849
648	30291	436450
649	30314	436065
650	30336	435666
651	30358	435255
652	30389	434998
653	30425	434792
654	30454	434493
655	30484	434213
656	30526	434102
657	30572	434055
658	30604	433801
659	30635	433537
660	30664	433242
661	30697	433005
662	30722	432666
663	30752	432392
664	30776	432022
665	30796	431611
666	30815	431181
667	30836	430783
668	30857	430387
669	30875	429948
670	30895	429537
671	30918	429179
672	30938	428768
673	30960	428388
674	30982	428013
675	31002	427614
676	31022	427206
677	31041	426795
678	31062	426418
679	31089	426106
680	31113	425765
681	31142	425498
682	31179	425323
683	31215	425156
684	31248	424937
685	31272	424591
686	31296	424255
687	31319	423910
688	31343	423568
689	31369	423262
690	31392	422908
691	31413	422535
692	31435	422183
693	31459	421842
694	31482	421503
695	31505	421158
696	31525	420772
697	31551	420474
698	31581	420226
699	31611	419985
700	31643	419758
701	31674	419532
702	31710	419360
703	31746	419197
704	31771	418890
705	31796	418585
706	31819	418243
707	31845	417946
708	31869	417627
709	31895	417342
710	31919	417020
711	31940	416668
